,Column ,Explanation,ShortCut,meaning
0,index,This is the unique identifier for each row in the dataset. It helps track and reference each observation separately,nmme,North American Multi-Model Ensemble
1,lat,"This represents the latitude of the location, showing its north-south position on the Earth’s surface",tmp2m,2-meter air temperature (temperature near the surface)
2,lon,"This represents the longitude of the location, showing its east-west position on the Earth’s surface",prate,Precipitation rate
3,startdate,This is the start date of the 14-day period for which all the measurements and forecasts are valid,rhum,Relative humidity
4,contest-pevpr-sfc-gauss-14d__pevpr,Start date of the 14-day period for which all measurements and forecasts apply,slp,Sea level pressure
5,nmme0-tmp2m-34w__cancm30,"Forecast of 2-meter temperature at 34 weeks lead from the CanCM3 model (Canadian Climate Model, version 3).",uwnd,Zonal wind (east–west component)
6,nmme0-tmp2m-34w__cancm40,"Forecast of 2-meter temperature at 34 weeks lead from the CanCM4 model (Canadian Climate Model, version 4).",vwnd,Meridional wind (north–south component)
7,nmme0-tmp2m-34w__ccsm30,"Forecast of 2-meter temperature at 34 weeks lead from the CCSM3 model (Community Climate System Model, version 3, USA).",h10 / hgt-10,Wind at 10 meters above the surface
8,nmme0-tmp2m-34w__ccsm40,"Forecast of 2-meter temperature at 34 weeks lead from the CCSM4 model (Community Climate System Model, version 4, USA).",h100 / hgt-100,Wind at 100 meters above the surface
9,nmme0-tmp2m-34w__cfsv20,"Forecast of 2-meter temperature at 34 weeks lead from the CFSv2 model (Climate Forecast System, version 2, USA/NCEP).",h500 / hgt-500,Wind at 500 hPa pressure level
10,nmme0-tmp2m-34w__gfdlflora0,"Forecast of 2-meter temperature at 34 weeks lead from the GFDL FLOR-A model (Geophysical Fluid Dynamics Laboratory, USA, atmospheric version A).",h850 / hgt 850,Wind at 850 hPa pressure level
11,nmme0-tmp2m-34w__gfdlflorb0,"Forecast of 2-meter temperature at 34 weeks lead from the GFDL FLOR-B model (GFDL, atmospheric version B).",h925 / hgt925,Wind at 925 hPa pressure level
12,nmme0-tmp2m-34w__gfdl0,Forecast of 2-meter temperature at 34 weeks lead from the GFDL standard model (general GFDL climate model).,icec,Sea ice concentration
13,nmme0-tmp2m-34w__nasa0,Forecast of 2-meter temperature at 34 weeks lead from the NASA GMAO model (NASA Goddard Modeling and Assimilation Office).,sst,Sea surface temperature
14,nmme0-tmp2m-34w__nmme0mean,The multi-model ensemble mean of all NMME models listed above for 2-meter temperature at 34 weeks lead.,prwtr,Precipitable water in the atmosphere
15,contest-wind-h10-14d__wind-hgt-10,10-meter wind speed over a 14-day period.,mjo1d__phase,Phase of the Madden-Julian Oscillation (MJO)
16,nmme-tmp2m-56w__cancm3,Forecast of 2-meter temperature at 56 weeks lead from the CanCM3 model (Canadian Climate Model version 3).,mjo1d__amplitude,Amplitude of the MJO
17,nmme-tmp2m-56w__cancm4,Forecast of 2-meter temperature at 56 weeks lead from the CanCM4 model (Canadian Climate Model version 4).,mei,Multivariate ENSO Index (MEI)
