,0
lat,0
lon,0
startdate,0
contest-pevpr-sfc-gauss-14d__pevpr,0
nmme0-tmp2m-34w__cancm30,0
nmme0-tmp2m-34w__cancm40,0
nmme0-tmp2m-34w__ccsm30,15934
nmme0-tmp2m-34w__ccsm40,0
nmme0-tmp2m-34w__cfsv20,0
nmme0-tmp2m-34w__gfdlflora0,0
nmme0-tmp2m-34w__gfdlflorb0,0
nmme0-tmp2m-34w__gfdl0,0
nmme0-tmp2m-34w__nasa0,0
nmme0-tmp2m-34w__nmme0mean,0
contest-wind-h10-14d__wind-hgt-10,0
nmme-tmp2m-56w__cancm3,0
nmme-tmp2m-56w__cancm4,0
nmme-tmp2m-56w__ccsm3,10280
nmme-tmp2m-56w__ccsm4,0
nmme-tmp2m-56w__cfsv2,0
nmme-tmp2m-56w__gfdl,0
nmme-tmp2m-56w__gfdlflora,0
nmme-tmp2m-56w__gfdlflorb,0
nmme-tmp2m-56w__nasa,0
nmme-tmp2m-56w__nmmemean,0
contest-rhum-sig995-14d__rhum,0
nmme-prate-34w__cancm3,0
nmme-prate-34w__cancm4,0
nmme-prate-34w__ccsm3,8738
nmme-prate-34w__ccsm4,0
nmme-prate-34w__cfsv2,0
nmme-prate-34w__gfdl,0
nmme-prate-34w__gfdlflora,0
nmme-prate-34w__gfdlflorb,0
nmme-prate-34w__nasa,0
nmme-prate-34w__nmmemean,0
contest-wind-h100-14d__wind-hgt-100,0
nmme0-prate-56w__cancm30,0
nmme0-prate-56w__cancm40,0
nmme0-prate-56w__ccsm30,15934
nmme0-prate-56w__ccsm40,0
nmme0-prate-56w__cfsv20,0
nmme0-prate-56w__gfdlflora0,0
nmme0-prate-56w__gfdlflorb0,0
nmme0-prate-56w__gfdl0,0
nmme0-prate-56w__nasa0,0
nmme0-prate-56w__nmme0mean,0
nmme0-prate-34w__cancm30,0
nmme0-prate-34w__cancm40,0
nmme0-prate-34w__ccsm30,15934
nmme0-prate-34w__ccsm40,0
nmme0-prate-34w__cfsv20,0
nmme0-prate-34w__gfdlflora0,0
nmme0-prate-34w__gfdlflorb0,0
nmme0-prate-34w__gfdl0,0
nmme0-prate-34w__nasa0,0
nmme0-prate-34w__nmme0mean,0
contest-tmp2m-14d__tmp2m,0
contest-slp-14d__slp,0
contest-wind-vwnd-925-14d__wind-vwnd-925,0
nmme-prate-56w__cancm3,0
nmme-prate-56w__cancm4,0
nmme-prate-56w__ccsm3,10280
nmme-prate-56w__ccsm4,0
nmme-prate-56w__cfsv2,0
nmme-prate-56w__gfdl,0
nmme-prate-56w__gfdlflora,0
nmme-prate-56w__gfdlflorb,0
nmme-prate-56w__nasa,0
nmme-prate-56w__nmmemean,0
contest-pres-sfc-gauss-14d__pres,0
contest-wind-uwnd-250-14d__wind-uwnd-250,0
nmme-tmp2m-34w__cancm3,0
nmme-tmp2m-34w__cancm4,0
nmme-tmp2m-34w__ccsm3,8738
nmme-tmp2m-34w__ccsm4,0
nmme-tmp2m-34w__cfsv2,0
nmme-tmp2m-34w__gfdl,0
nmme-tmp2m-34w__gfdlflora,0
nmme-tmp2m-34w__gfdlflorb,0
nmme-tmp2m-34w__nasa,0
nmme-tmp2m-34w__nmmemean,0
contest-prwtr-eatm-14d__prwtr,0
contest-wind-vwnd-250-14d__wind-vwnd-250,0
contest-precip-14d__precip,0
contest-wind-h850-14d__wind-hgt-850,0
contest-wind-uwnd-925-14d__wind-uwnd-925,0
contest-wind-h500-14d__wind-hgt-500,0
cancm30,0
cancm40,0
ccsm30,15934
ccsm40,0
cfsv20,0
gfdlflora0,0
gfdlflorb0,0
gfdl0,0
nasa0,0
nmme0mean,0
climateregions__climateregion,0
elevation__elevation,0
wind-vwnd-250-2010-1,0
wind-vwnd-250-2010-2,0
wind-vwnd-250-2010-3,0
wind-vwnd-250-2010-4,0
wind-vwnd-250-2010-5,0
wind-vwnd-250-2010-6,0
wind-vwnd-250-2010-7,0
wind-vwnd-250-2010-8,0
wind-vwnd-250-2010-9,0
wind-vwnd-250-2010-10,0
wind-vwnd-250-2010-11,0
wind-vwnd-250-2010-12,0
wind-vwnd-250-2010-13,0
wind-vwnd-250-2010-14,0
wind-vwnd-250-2010-15,0
wind-vwnd-250-2010-16,0
wind-vwnd-250-2010-17,0
wind-vwnd-250-2010-18,0
wind-vwnd-250-2010-19,0
wind-vwnd-250-2010-20,0
wind-uwnd-250-2010-1,0
wind-uwnd-250-2010-2,0
wind-uwnd-250-2010-3,0
wind-uwnd-250-2010-4,0
wind-uwnd-250-2010-5,0
wind-uwnd-250-2010-6,0
wind-uwnd-250-2010-7,0
wind-uwnd-250-2010-8,0
wind-uwnd-250-2010-9,0
wind-uwnd-250-2010-10,0
wind-uwnd-250-2010-11,0
wind-uwnd-250-2010-12,0
wind-uwnd-250-2010-13,0
wind-uwnd-250-2010-14,0
wind-uwnd-250-2010-15,0
wind-uwnd-250-2010-16,0
wind-uwnd-250-2010-17,0
wind-uwnd-250-2010-18,0
wind-uwnd-250-2010-19,0
wind-uwnd-250-2010-20,0
mjo1d__phase,0
mjo1d__amplitude,0
mei__mei,0
mei__meirank,0
mei__nip,0
wind-hgt-850-2010-1,0
wind-hgt-850-2010-2,0
wind-hgt-850-2010-3,0
wind-hgt-850-2010-4,0
wind-hgt-850-2010-5,0
wind-hgt-850-2010-6,0
wind-hgt-850-2010-7,0
wind-hgt-850-2010-8,0
wind-hgt-850-2010-9,0
wind-hgt-850-2010-10,0
sst-2010-1,0
sst-2010-2,0
sst-2010-3,0
sst-2010-4,0
sst-2010-5,0
sst-2010-6,0
sst-2010-7,0
sst-2010-8,0
sst-2010-9,0
sst-2010-10,0
wind-hgt-500-2010-1,0
wind-hgt-500-2010-2,0
wind-hgt-500-2010-3,0
wind-hgt-500-2010-4,0
wind-hgt-500-2010-5,0
wind-hgt-500-2010-6,0
wind-hgt-500-2010-7,0
wind-hgt-500-2010-8,0
wind-hgt-500-2010-9,0
wind-hgt-500-2010-10,0
icec-2010-1,0
icec-2010-2,0
icec-2010-3,0
icec-2010-4,0
icec-2010-5,0
icec-2010-6,0
icec-2010-7,0
icec-2010-8,0
icec-2010-9,0
icec-2010-10,0
wind-uwnd-925-2010-1,0
wind-uwnd-925-2010-2,0
wind-uwnd-925-2010-3,0
wind-uwnd-925-2010-4,0
wind-uwnd-925-2010-5,0
wind-uwnd-925-2010-6,0
wind-uwnd-925-2010-7,0
wind-uwnd-925-2010-8,0
wind-uwnd-925-2010-9,0
wind-uwnd-925-2010-10,0
wind-uwnd-925-2010-11,0
wind-uwnd-925-2010-12,0
wind-uwnd-925-2010-13,0
wind-uwnd-925-2010-14,0
wind-uwnd-925-2010-15,0
wind-uwnd-925-2010-16,0
wind-uwnd-925-2010-17,0
wind-uwnd-925-2010-18,0
wind-uwnd-925-2010-19,0
wind-uwnd-925-2010-20,0
wind-hgt-10-2010-1,0
wind-hgt-10-2010-2,0
wind-hgt-10-2010-3,0
wind-hgt-10-2010-4,0
wind-hgt-10-2010-5,0
wind-hgt-10-2010-6,0
wind-hgt-10-2010-7,0
wind-hgt-10-2010-8,0
wind-hgt-10-2010-9,0
wind-hgt-10-2010-10,0
wind-hgt-100-2010-1,0
wind-hgt-100-2010-2,0
wind-hgt-100-2010-3,0
wind-hgt-100-2010-4,0
wind-hgt-100-2010-5,0
wind-hgt-100-2010-6,0
wind-hgt-100-2010-7,0
wind-hgt-100-2010-8,0
wind-hgt-100-2010-9,0
wind-hgt-100-2010-10,0
wind-vwnd-925-2010-1,0
wind-vwnd-925-2010-2,0
wind-vwnd-925-2010-3,0
wind-vwnd-925-2010-4,0
wind-vwnd-925-2010-5,0
wind-vwnd-925-2010-6,0
wind-vwnd-925-2010-7,0
wind-vwnd-925-2010-8,0
wind-vwnd-925-2010-9,0
wind-vwnd-925-2010-10,0
wind-vwnd-925-2010-11,0
wind-vwnd-925-2010-12,0
wind-vwnd-925-2010-13,0
wind-vwnd-925-2010-14,0
wind-vwnd-925-2010-15,0
wind-vwnd-925-2010-16,0
wind-vwnd-925-2010-17,0
wind-vwnd-925-2010-18,0
wind-vwnd-925-2010-19,0
wind-vwnd-925-2010-20,0
